id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|परिवहन का सबसे तीव्र किंतु महंगा साधन कौन सा है?|वायु परिवहन|सड़क परिवहन|रेल परिवहन|जल परिवहन|वायु परिवहन|Geography_C8|30
2|विश्व का सबसे लंबा रेलमार्ग कौन सा है?|ट्रांस-साइबेरियन रेलमार्ग|कैनेडियन पैसिफिक रेलमार्ग|यूनियन पैसिफिक रेलमार्ग|ऑस्ट्रेलियन ट्रांस-कॉन्टिनेंटल रेलमार्ग|ट्रांस-साइबेरियन रेलमार्ग|Geography_C8|30
3|स्वेज नहर किन दो सागरों को जोड़ती है?|भूमध्य सागर और लाल सागर|अटलांटिक महासागर और प्रशांत महासागर|हिंद महासागर और प्रशांत महासागर|आर्कटिक महासागर और अटलांटिक महासागर|भूमध्य सागर और लाल सागर|Geography_C8|30
4|पनामा नहर का निर्माण किस देश में किया गया है?|पनामा|संयुक्त राज्य अमेरिका|कोलंबिया|मैक्सिको|पनामा|Geography_C8|30
5|विश्व का व्यस्ततम समुद्री मार्ग कौन सा है?|उत्तरी अटलांटिक समुद्री मार्ग|दक्षिणी अटलांटिक समुद्री मार्ग|उत्तरी प्रशांत समुद्री मार्ग|हिंद महासागर मार्ग|उत्तरी अटलांटिक समुद्री मार्ग|Geography_C8|30
6|पाइपलाइन परिवहन का उपयोग किसके परिवहन के लिए किया जाता है?|पेट्रोलियम, प्राकृतिक गैस और जल|कोयला|अनाज|यात्री|पेट्रोलियम, प्राकृतिक गैस और जल|Geography_C8|30
7|निम्नलिखित में से कौन सा संचार का एक व्यक्तिगत साधन है?|इंटरनेट|रेडियो|टेलीविजन|समाचार पत्र|इंटरनेट|Geography_C8|30
8|भारत का राष्ट्रीय महामार्ग संख्या 7 (अब NH-44) किन दो शहरों को जोड़ता है?|वाराणसी से कन्याकुमारी|दिल्ली से मुंबई|कोलकाता से चेन्नई|अमृतसर से कोलकाता|वाराणसी से कन्याकुमारी|Geography_C8|30
9|'चैनल टनल' (Channel Tunnel) किन दो शहरों को जोड़ता है?|पेरिस और लंदन|न्यूयॉर्क और लंदन|टोक्यो और बीजिंग|बर्लिन और रोम|पेरिस और लंदन|Geography_C8|30
10|अंतर्देशीय जलमार्ग का एक उदाहरण कौन सी नदी है?|राइन नदी|अमेजन नदी|नील नदी|मिसीसिपी नदी|राइन नदी|Geography_C8|30
11|'बिग इंच' (Big Inch) पाइपलाइन द्वारा क्या परिवहित किया जाता है?|पेट्रोलियम|दूध|जल|गैस|पेट्रोलियम|Geography_C8|30
12|उपग्रह संचार (Satellite Communication) का मुख्य लाभ क्या है?|दूरस्थ क्षेत्रों तक पहुँच|सस्ता होना|धीमी गति|कम कवरेज|दूरस्थ क्षेत्रों तक पहुँच|Geography_C8|30
13|साइबरस्पेस (Cyberspace) का संबंध किससे है?|कंप्यूटर नेटवर्क और इंटरनेट|सड़क नेटवर्क|रेल नेटवर्क|वायु मार्ग नेटवर्क|कंप्यूटर नेटवर्क और इंटरनेट|Geography_C8|30
14|सड़क घनत्व का क्या अर्थ है?|प्रति 100 वर्ग किलोमीटर क्षेत्र में सड़कों की लंबाई|देश में सड़कों की कुल लंबाई|एक सड़क की चौड़ाई|सड़कों पर वाहनों की संख्या|प्रति 100 वर्ग किलोमीटर क्षेत्र में सड़कों की लंबाई|Geography_C8|30
15|पारमहाद्वीपीय स्टुअर्ट महामार्ग (Trans-continental Stuart Highway) किस देश में स्थित है?|ऑस्ट्रेलिया|कनाडा|रूस|संयुक्त राज्य अमेरिका|ऑस्ट्रेलिया|Geography_C8|30
