id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
1|غزل 'عشق کی چوٹ' کے شاعر کون ہیں؟|جگر مرادآبادی|فانی بدایونی|اصغر گونڈوی|حسرت موہانی|حسرت موہانی|Urdu_C22|30
2|حسرت موہانی کا اصل نام کیا تھا؟|سید فضل الحسن|انور حسین|فضل الحق|سید محمد علی|سید فضل الحسن|Urdu_C22|30
3|حسرت موہانی کہاں پیدا ہوئے؟|لکھنؤ|کانپور|فتح پور|موہان (ضلع اناؤ)|موہان (ضلع اناؤ)|Urdu_C22|30
4|حسرت کا تخلص 'موہانی' کس وجہ سے ہے؟|ان کے والد کا نام था|ان کے استاد کا نام था|ان کے قصبے 'موہان' کی نسبت سے|ان کی والدہ کا نام था|ان کے قصبے 'موہان' کی نسبت سے|Urdu_C22|30
5|غزل کے پہلے شعر کو کیا کہتے ہیں؟|مقطع|مطلع|حسنِ مطلع|فرد|مطلع|Urdu_C22|30
6|غزل کے آخری شعر کو کیا کہتے ہیں، جس میں شاعر اپنا تخلص استعمال کرتا ہے؟|مطلع|حسنِ مطلع|بیت|مقطع|مقطع|Urdu_C22|30
7|حسرت موہانی بنیادی طور پر کس صنف کے شاعر ہیں؟|نظم|مرثیہ|قصیدہ|غزل|غزل|Urdu_C22|30
8|'عشق کی چوٹ' سے شاعر کی کیا مراد ہے؟|محبت میں ملنے والا زخم یا دکھ|جسمانی چوٹ|دشمنی کی چوٹ|ایک بیماری کا نام|محبت میں ملنے والا زخم یا دکھ|Urdu_C22|30
9|حسرت موہانی کس بڑی سیاسی تحریک سے وابستہ تھے؟|خلافت تحریک|تحریکِ آزادی ہند|علی گڑھ تحریک|تحریکِ ریشمی رومال|تحریکِ آزادی ہند|Urdu_C22|30
10|'انقلاب زندہ باد' کا نعرہ سب سے پہلے کس نے استعمال کیا؟|بھگت سنگھ|مہاتما گاندھی|حسرت موہانی|چندر شیکھر آزاد|حسرت موہانی|Urdu_C22|30
11|حسرت کی شاعری میں کس قسم کے عشق کا بیان ملتا ہے؟|صرف عشقِ حقیقی (تصوف)|صرف عشقِ مجازی (دنیاوی)|عشقِ مجازی اور حقیقی دونوں|کوئی نہیں|عشقِ مجازی اور حقیقی دونوں|Urdu_C22|30
12|'رئیس المتغزلین' (غزل گو شعراء کا سردار) کسے کہا جاتا ہے؟|غالب|میر|فانی|حسرت موہانی|حسرت موہانی|Urdu_C22|30
13|حسرت کی غزل کا لہجہ کیسا ہے؟|ناامیدی اور مایوسی|کلاسیکی رنگ اور جدید احساسات کا سنگم|صرف شوخی اور ظرافت|بہت پیچیدہ اور فلسفیانہ|کلاسیکی رنگ اور جدید احساسات کا سنگم|Urdu_C22|30
14|حسرت موہانی نے کونسا رسالہ جاری کیا تھا؟|مخزن|اردوئے معلیٰ|زمانہ|نگار|اردوئے معلیٰ|Urdu_C22|30
15|'چپکے چپکے رات دن آنسو بہانا یاد ہے' - یہ مشہور غزل کس کی ہے؟|جگر|فانی|اصغر|حسرت|حسرت|Urdu_C22|30
16|غزل میں 'رقیب' سے کون مراد ہوتا ہے؟|دوست|محبوب|محبت میں شریک دوسرا شخص (دشمن)|قاصد|محبت میں شریک دوسرا شخص (دشمن)|Urdu_C22|30
17|حسرت کی شاعری میں 'جرأت' کا عنصر کس وجہ سے آیا؟|ان کی فوجی تربیت کی وجہ سے|ان کی سیاسی سرگرمیوں اور باغی فطرت کی وجہ سے|ان کے استاد کی وجہ سے|ان کی دولت کی وجہ سے|ان کی سیاسی سرگرمیوں اور باغی فطرت کی وجہ سے|Urdu_C22|30
18|حسرت موہانی کا انتقال کب ہوا؟|1947|1951|1955|1960|1951|Urdu_C22|30
19|غزل کے ہم قافیہ الفاظ کو کیا کہتے ہیں؟|ردیف|قافیہ|مصرع|بحر|قافیہ|Urdu_C22|30
20|غزل کے آخر میں دہرائے جانے والے لفظ یا الفاظ کو کیا کہتے ہیں؟|قافیہ|مصرع|ردیف|بیت|ردیف|Urdu_C22|30
21|حسرت کی شاعری میں عورت کا کردار کیسا ہے؟|ایک بے وفا مخلوق|ایک خیالی وجود|ایک جیتی جاگتی، باوقار اور شریکِ سفر ہستی|ایک مظلوم عورت|ایک جیتی جاگتی، باوقار اور شریکِ سفر ہستی|Urdu_C22|30
22|'کلیاتِ حسرت' میں ان کا کون سا کلام شامل ہے؟|صرف نظمیں|صرف غزلیں|ان کا تمام شعری کلام|صرف قطعات|ان کا تمام شعری کلام|Urdu_C22|30
23|حسرت موہانی کو قید و بند کی صعوبتیں کیوں برداشت کرنی پڑیں؟|ایک ذاتی جھگڑے کی وجہ سے|انقلابی اور انگریز مخالف سرگرمیوں کی وجہ سے|چوری کے الزام میں|قرض نہ ادا کرنے پر|انقلابی اور انگریز مخالف سرگرمیوں کی وجہ سے|Urdu_C22|30
24|'حسنِ بے پروا' سے شاعر کی کیا مراد ہے؟|بدصورت حسن|لاپرواہ محبوب کا حسن|بہت زیادہ حسن|چھپا ہوا حسن|لاپرواہ محبوب کا حسن|Urdu_C22|30
25|حسرت نے اپنی غزلوں میں کس چیز کو قائم رکھا؟|غزل کی روایتی پاکیزگی اور اشاراتی نظام|نظم کی طرح تسلسل|صرف سیاسی موضوعات|صرف ذاتی دکھ|غزل کی روایتی پاکیزگی اور اشاراتی نظام|Urdu_C22|30
26|'شوق' کا لفظ حسرت کی شاعری میں کس معنی میں آتا ہے؟|صرف دلچسپی|محبت کی شدید خواہش اور لگن|حیرت|خوف|محبت کی شدید خواہش اور لگن|Urdu_C22|30
27|حسرت موہانی کا مزار کہاں ہے؟|دہلی|لکھنؤ|کانپور|موہان|لکھنؤ|Urdu_C22|30
28|'نقاطِ سخن' کس کی تصنیف ہے؟| حالی|شبلی|حسرت موہانی|فراق|حسرت موہانی|Urdu_C22|30
29|حسرت کی غزل میں 'عشق کی چوٹ' کا انجام کیا ہوتا ہے؟|شاعر محبت سے توبہ کر لیتا ہے|شاعر اس درد میں بھی ایک لطف محسوس کرتا ہے|شاعر پاگل ہو جاتا ہے|شاعر محبوب سے بدلہ لیتا ہے|شاعر اس درد میں بھی ایک لطف محسوس کرتا ہے|Urdu_C22|30
30|حسرت کس کالج کے طالب علم تھے؟|دہلی کالج|سینٹ اسٹیفن کالج|فورٹ ولیم کالج|ایم اے او کالج، علی گڑھ|ایم اے او کالج، علی گڑھ|Urdu_C22|30
31|'شیوۂ دل نوازی' کا کیا مطلب ہے؟|دل دکھانے کا طریقہ|دل کو لبھانے یا خوش کرنے کا انداز|دل لگی کرنا|دل توڑنا|دل کو لبھانے یا خوش کرنے کا انداز|Urdu_C22|30
32|حسرت موہانی نے کتنی بار حج کیا؟|ایک بار|تین بار|سات بار|تیرہ بار|تیرہ بار|Urdu_C22|30
33|حسرت کی شاعری میں کس ہندو تہوار اور شخصیت کا ذکر ملتا ہے؟|دیوالی اور رام|ہولی اور کرشن|دشہرہ اور راون|راکھی اور لکشمن|ہولی اور کرشن|Urdu_C22|30
34|'بے حجابانہ' کا کیا مطلب ہے؟|پردے کے پیچھے سے|بغیر پردے کے، کھلم کھلا|خاموشی سے|اشاروں میں|بغیر پردے کے، کھلم کھلا|Urdu_C22|30
35|حسرت نے اپنی شاعری میں کس چیز کو ترجیح دی؟|خیالی باتوں کو|حقیقی تجربات اور احساسات کو|دوسروں کی نقل کو|صرف الفاظ کی بازیگری کو|حقیقی تجربات اور احساسات کو|Urdu_C22|30
36|'قیدِ فرنگ' سے کیا مراد ہے؟|فرانس کی قید|انگریزوں کی قید|گھر کی قید|محبت کی قید|انگریزوں کی قید|Urdu_C22|30
37|حسرت کی غزلوں میں درد کے ساتھ ساتھ کون سا عنصر پایا جاتا ہے؟|ناامیدی|امید اور حوصلہ|نفرت|طنز|امید اور حوصلہ|Urdu_C22|30
38|'مشقِ سخن' سے کیا مراد ہے؟|شاعری کی مشق کرنا|تقریر کی مشق کرنا|لڑائی کی مشق کرنا|گانے کی مشق کرنا|شاعری کی مشق کرنا|Urdu_C22|30
39|حسرت موہانی کی شخصیت کیسی تھی؟|ڈرپوک اور بزدل|اصول پرست، نڈر اور سادہ|مغرور اور خود پسند|خوشامدی|اصول پرست، نڈر اور سادہ|Urdu_C22|30
40|'یاد' حسرت کی شاعری میں کیا اہمیت رکھتی ہے؟|ایک تکلیف دہ چیز|ایک خوبصورت اور قیمتی اثاثہ|ایک بھول جانے والی چیز|ایک غیر ضروری جذبہ|ایک خوبصورت اور قیمتی اثاثہ|Urdu_C22|30
41|'کامل آزادی' (مکمل آزادی) کا مطالبہ سب سے پہلے کس نے کیا؟|مہاتما گاندھی|جواہر لعل نہرو|مولانا آزاد|حسرت موہانی|حسرت موہانی|Urdu_C22|30
42|حسرت کی غزل کا محبوب کیسا ہے؟|خیالی اور غیر حقیقی|بے وفا لیکن قابلِ پرستش|ہمیشہ وفادار|بہت ظالم|بے وفا لیکن قابلِ پرستش|Urdu_C22|30
43|'عالم' کا لفظ غزل میں کس معنی میں آتا ہے؟|عالم دین|دنیا، جہان، حالت|علم رکھنے والا|خاموشی|دنیا، جہان، حالت|Urdu_C22|30
44|حسرت کے کلام میں سادگی کے ساتھ ساتھ کیا چیز پائی جاتی ہے؟|پیچیدگی|برجستگی|گہرائی اور معنویت|سطحیت|گہرائی اور معنویت|Urdu_C22|30
45|'تغزل' کا کیا مطلب ہے؟|غزل لکھنا|غزل کا خاص رنگ اور مزاج|غزل سننا|غزل پر تنقید کرنا|غزل کا خاص رنگ اور مزاج|Urdu_C22|30
46|حسرت کی زندگی کس چیز کا حسین امتزاج تھی؟|شاعری اور تجارت|شاعری اور سیاست|شاعری اور طب|شاعری اور وکالت|شاعری اور سیاست|Urdu_C22|30
47|'وفا' کے مقابلے میں غزل میں عام طور پر کون سا لفظ آتا ہے؟|محبت|عشق|جفا|حیا|جفا|Urdu_C22|30
48|حسرت نے کس چیز کو اپنی شاعری کا موضوع نہیں بنایا؟|فرسودہ اور خیالی قصوں کو|ذاتی احساسات کو|سیاسی حالات کو|محبت کے تجربات کو|فرسودہ اور خیالی قصوں کو|Urdu_C22|30
49|حسرت موہانی نے دستور ساز اسمبلی کے رکن کی حیثیت سے کس بات کی مخالفت کی؟|آئین پر دستخط کرنے کی|پاکستان جانے کی|وزیر بننے کی|الیکشن لڑنے کی|آئین پر دستخط کرنے کی|Urdu_C22|30
50|غزل 'عشق کی چوٹ' کا مجموعی تاثر کیا ہے؟|مایوسی اور شکستگی|درد میں لذت اور حوصلہ مندی|شدید غصہ اور نفرت|دنیا سے بیزاری|درد میں لذت اور حوصلہ مندی|Urdu_C22|30
